Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
404,Neha Sharma,Military Lawyer,Juris Prime Law Services,451,Veterans,Advocate,1,13,12,Supreme Court of India,Unprofessional behavior and missed important deadlines. | Failed to deliver on commitments and promises. | Ineffective communication and lack of detailed information.,87018,NB/DL/2023/71633
405,Anjali Khan,Environmental Lawyer,Kachwaha & Partners,336,Government Agencies,Managing Partner,22,537,451,Supreme Court of India,Proficient in handling legal matters with great care. | Always available and attentive to my needs. | Thorough preparation and outstanding legal advice.,4440886,NB/OR/2002/26273
406,Harish Rajput,Entertainment Lawyer,De Penning & De Penning,176,Artists,Senior Associate,3,52,51,District Court,Excellent communication and outstanding client care. | Always available and attentive to my needs. | Confident and competent. I felt secure with their representation.,104592,NB/KAR/2021/39696
407,Dinesh Kadam,Real Estate Lawyer,Ashwathh Legal,469,Property Sellers,Independent Legal Consultant,5,198,146,Bar Council of India,"Confident and competent. I felt secure with their representation. | Professional, reliable, and easy to work with. Satisfied client. | Efficient handling of my case with a favorable result.",314651,NB/UP/2019/36349
408,Kiran Shetty,Animal Lawyer,DSK Legal,286,Zoos,Solicitor,6,106,74,High Court,Dedicated and diligent. Always kept me informed. | Proactive and strategic. Achieved a favorable outcome. | Experienced and skilled. Made me feel confident throughout.,638388,NB/UK/2018/30511
409,Vikram Ghosh,Entertainment Lawyer,Spice Route Legal,218,Artists,Senior Advocate,10,272,192,Supreme Court of India,Poor attention to detail led to errors in my case. | Failed to provide clear explanations and advice. | Did not represent my interests effectively in court.,450096,NB/TR/2014/75136
410,Naveen Bhat,Immigration Lawyer,Argus Partners,398,Corporations,Senior Associate,4,50,35,Supreme Court of India,Proactive and strategic. Achieved a favorable outcome. | Exceptional negotiation skills. Secured a great deal for me. | Great support throughout the legal process.,102608,NB/HP/2020/87854
411,Suresh Kapoor,Education Lawyer,De Penning & De Penning,75,Educational Institutions,Independent Legal Consultant,7,185,130,Supreme Court of India,Lacked communication and updates during my case. | Inadequate preparation and subpar legal advice. | Provided incorrect information and poor advice.,321036,NB/AP/2017/48464
412,Ajay Gupta,Personal Injury Lawyer,Agama Law Associates,387,Accident Victims,Junior Associate / Associate,1,34,29,District Court,Dedicated to their clients and achieved favorable outcomes. | Excellent communication and outstanding client care. | Highly knowledgeable and provided excellent advice throughout.,33744,NB/TS/2023/16847
413,Shivani Kadam,Securities Lawyer,Amicus,34,Financial Institutions,Managing Partner,21,433,325,Bar Council of India,Dedicated and diligent. Always kept me informed. | Proactive and strategic in handling my legal issues. | Very professional and handled my case with great expertise.,4382802,NB/JK/2003/90681
414,Ishaan Chopra,Criminal Lawyer,Luthra and Luthra Law Offices India,449,Prosecutors,Counsel,8,215,215,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Very responsive and provided excellent legal counsel. | Proactive and strategic. Achieved a favorable outcome.,209039,NB/JK/2016/99267
415,Amit Kulkarni,International Lawyer,InventIP Legal Services LLP,80,Corporations,Managing Partner,25,501,430,Supreme Court of India,Confident and competent. I felt secure with their representation. | Clear communication and prompt responses. Highly recommend. | Excellent communication and outstanding client care.,1527571,NB/TR/1999/12585
416,Neha Bhagat,Civil Rights Lawyer,Hogan Lovells US LLP,220,Advocacy Groups,Government Counsel,10,147,131,District Court,Empathetic and understanding. Made me feel valued. | Professional demeanor and exceptional legal expertise. | Efficient and effective. Made a complex process straightforward.,132106,NB/DL/2014/17050
417,Ritika Rao,Military Lawyer,WongPartnership LLP,7,Military Personnel,Senior Advocate,11,274,226,High Court,Great advocate. Got me the best possible result in my case. | Clear explanations and transparent throughout the process. | Supportive and empathetic. Always had my best interests in mind.,547640,NB/UK/2013/80755
418,Siddharth Pandey,Environmental Lawyer,Jones Day,331,Government Agencies,Advocate,1,11,8,Supreme Court of India,"Ineffective communication and lack of detailed information. | Felt like just another case, not a priority. | Poor handling of legal documents and paperwork.",181234,NB/G/2023/85146
419,Naveen Menon,Intellectual Property Lawyer,Goswami & Nigam LLP,392,Creators,Non-Equity Partner,15,236,192,District Court,Disorganized and failed to meet case requirements. | Did not represent my interests effectively in court. | Inadequate preparation and subpar legal advice.,1178740,NB/OR/2009/28502
420,Anupam Ghosh,Sports Lawyer,Sagus Legal,449,Agencies,Managing Associate,11,239,217,High Court,Proactive and strategic in handling my legal issues. | Professional and reliable. Made the legal process smooth and manageable. | Great attention to detail and thorough in handling my case.,218030,NB/RJ/2013/60752
421,Ishaan Shetty,Administrative Lawyer,Agarwal Law Associates,296,Public Agencies,Principal Associate,7,94,70,Bar Council of India,Misguided and failed to achieve the desired outcome. | Ineffective communication and lack of detailed information. | Failed to provide clear explanations and advice.,178833,NB/BCT/2017/52080
422,Sneha Verma,Immigration Lawyer,DMD Advocates,339,Government Agencies,Advocate,1,11,11,District Court,Reliable and trustworthy. Delivered on their promises. | Very satisfied with the outcome and the service provided. | Proactive and strategic in handling my legal issues.,165625,NB/AP/2023/60069
423,Anita Rajput,Business Lawyer,AZB & PARTNERS,394,Entrepreneurs,Managing Associate,9,185,165,Bar Council of India,Dedicated and diligent. Always kept me informed. | Always available and attentive to my needs. | Efficient and effective. Made a complex process straightforward.,210651,NB/MP/2015/10160
424,Dinesh Kaul,Sports Lawyer,Morrison Foerster,98,Athletes,Advocate,2,18,14,Bar Council of India,Very satisfied with the outcome and the service provided. | Caring and attentive to my needs. Very pleased with the outcome. | Thorough preparation and outstanding legal advice.,130207,NB/BCT/2022/68583
425,Abhishek Das,Tax Lawyer,De Penning & De Penning,462,Individuals,In-House Counsel,7,173,165,High Court,Knowledgeable and detail-oriented. Provided great support. | Proactive and strategic in handling my legal issues. | Excellent communication and outstanding client care.,532276,NB/UP/2017/47983
426,Sneha Nair,Business Lawyer,AK & Partners,146,Corporations,In-House Counsel,5,139,101,High Court,Poor representation and lack of thorough case handling. | Did not address all legal issues in a timely manner. | Poor attention to detail led to errors in my case.,330736,NB/UK/2019/91004
427,Ravi Reddy,Real Estate Lawyer,InventIP Legal Services LLP,307,Tenants,Junior Associate / Associate,1,34,28,Supreme Court of India,Clear explanations and transparent throughout the process. | Exceptional at handling complex legal issues. | Committed and dedicated. Helped me navigate the legal system effectively.,73694,NB/TS/2023/75892
428,Pooja Lal,Maritime Lawyer,Talwar Thakore & Associates,224,Vessel Owners,Principal Associate,6,92,89,District Court,Proactive and strategic in handling my legal issues. | Great support throughout the legal process. | Efficient and effective. Made a complex process straightforward.,166218,NB/OR/2018/42752
429,Anand Thakur,Business Lawyer,Ahlawat & Associates,472,Small Businesses,Counsel,10,249,242,Bar Council of India,Failed to deliver on commitments and promises. | Inconsistent with follow-ups and overall handling. | Did not provide adequate support or guidance.,217090,NB/TR/2014/38305
430,Harish Dubey,Business Lawyer,Royzz & Co. Attorneys at Law,231,Corporations,Managing Associate,8,211,180,Supreme Court of India,"Provided excellent counsel and achieved excellent results. | Professional, reliable, and easy to work with. Satisfied client. | Thorough and meticulous in every aspect of the case.",295398,NB/OR/2016/42918
431,Kavita Nair,Environmental Lawyer,Ahlawat & Associates,362,Conservation Organizations,Government Counsel,6,154,108,High Court,"Professional approach and excellent outcome in my case. | Professional, reliable, and easy to work with. Satisfied client. | Exceptional negotiation skills. Secured a great deal for me.",85890,NB/TR/2018/89661
432,Sunita Shetty,Military Lawyer,IndusLaw,286,Veterans,Counsel,8,165,138,Bar Council of India,"Provided vague advice and seemed disinterested. | Felt like just another case, not a priority. | Unsatisfactory result and poor management of my case.",284716,NB/CG/2016/10804
433,Sneha Mishra,Banking and Finance Lawyer,Luthra and Luthra Law Offices India,72,Banks,Government Counsel,10,140,138,Supreme Court of India,Exceptional service with a strong focus on client needs. | Consistently high-quality service and reliable support. | Knowledgeable and detail-oriented. Provided great support.,141740,NB/KL/2014/75588
434,Simran Kapoor,Labor Lawyer,Kirkland & Ellis LLP,97,Trade Organizations,Managing Associate,12,214,154,Bar Council of India,Unreliable and frequently missed critical meetings. | Provided substandard legal service and advice. | Failure to meet deadlines and follow through on promises.,312958,NB/KAR/2012/59896
435,Amit Shetty,Military Lawyer,Clifford Chance LLP,463,Veterans,In-House Counsel,10,109,95,High Court,Failure to meet deadlines and follow through on promises. | Failed to deliver on commitments and promises. | Limited understanding of my case and its complexities.,384516,NB/AP/2014/46883
436,Kiran Kadam,Entertainment Lawyer,Majmudar & Partners,355,Media Companies,Of Counsel,11,285,199,High Court,Great support throughout the legal process. | Consistently high-quality service and reliable support. | Great attention to detail and thorough in handling my case.,208820,NB/BR/2013/30260
437,Rekha Chopra,Civil Rights Lawyer,Ahlawat & Associates,22,Advocacy Groups,Principal Associate,5,95,76,Supreme Court of India,Proficient in handling legal matters with great care. | Reliable and trustworthy. Delivered on their promises. | Great attention to detail and thorough in handling my case.,153663,NB/TS/2019/28936
438,Amit Mishra,Sports Lawyer,AKS Law Associates,200,Sports Teams,Junior Associate / Associate,2,22,21,Supreme Court of India,Clear explanations and transparent throughout the process. | Provided excellent counsel and achieved excellent results. | Excellent service. Made a stressful situation much easier to handle.,46576,NB/UK/2022/58913
439,Siddharth Bhagat,Civil Lawyer,LexCounsel,229,Small Businesses,Principal Associate,7,89,84,High Court,Mismanaged client expectations and case strategy. | Lacked communication and updates during my case. | Unreliable and frequently missed critical meetings.,209547,NB/MAH/2017/58026
440,Sameer Shetty,Intellectual Property Lawyer,Morrison Foerster,103,Inventors,Principal Associate,5,116,94,High Court,Mismanaged my case and provided inadequate support. | Unacceptable level of service and attention. | Unreliable and ineffective in managing legal proceedings.,193665,NB/TS/2019/54863
441,Sanjay Kadam,Real Estate Lawyer,AP & Partners,259,Landlords,Independent Legal Consultant,6,100,82,Supreme Court of India,Proactive and strategic. Achieved a favorable outcome. | Responsive and proactive. Addressed all my concerns promptly. | Skilled and effective. Managed my case with precision and care.,353152,NB/KAR/2018/97268
442,Pratik Pillai,Business Lawyer,Stratage Law,460,Corporations,Senior Advocate,10,280,196,Supreme Court of India,Felt my case was not handled with enough urgency. | Inadequate preparation and subpar legal advice. | Ineffective communication and lack of detailed information.,969308,NB/BCT/2014/91678
443,Nikhil Kulkarni,Civil Lawyer,WongPartnership LLP,153,Contract Disputants,Legal Aid Lawyer,2,19,14,Bar Council of India,Responsive and proactive. Addressed all my concerns promptly. | Very professional and handled my case with great expertise. | Proactive and strategic. Achieved a favorable outcome.,36228,NB/WB/2022/15525
444,Rekha Menon,Bankruptcy Lawyer,Spice Route Legal,495,Individuals,Principal Associate,7,92,65,District Court,Clear communication and prompt responses. Highly recommend. | Effective and result-oriented. Highly satisfied with the service. | Trustworthy and results-oriented. I felt well-represented.,236932,NB/OR/2017/69687
445,Rohit Kulkarni,Banking and Finance Lawyer,AKS Law Associates,315,Financial Institutions,Legal Aid Lawyer,1,13,12,District Court,Confident and competent. I felt secure with their representation. | Consistently high-quality service and reliable support. | Proactive and strategic in handling my legal issues.,51498,NB/AP/2023/80225
446,Pratik Gupta,Corporate Lawyer,Saga Legal,212,Shareholders,Non-Equity Partner,10,248,176,District Court,Committed and dedicated. Helped me navigate the legal system effectively. | Exceptional negotiation skills. Secured a great deal for me. | Thorough and meticulous in every aspect of the case.,810855,NB/OR/2014/40303
447,Rashmi Pandey,Securities Lawyer,IndusLaw,369,Investors,Independent Legal Consultant,6,125,113,Bar Council of India,Efficient and effective. Made a complex process straightforward. | Committed and dedicated. Helped me navigate the legal system effectively. | Thorough and meticulous in every aspect of the case.,205193,NB/MG/2018/48233
448,Arjun Pillai,Intellectual Property Lawyer,Luthra and Luthra Law Offices India,293,Inventors,Junior Associate / Associate,2,27,25,District Court,Thorough preparation and outstanding legal advice. | Exceptional negotiation skills. Secured a great deal for me. | Thorough and meticulous in every aspect of the case.,49280,NB/TR/2022/62553
449,Kiran Lal,Criminal Lawyer,Khaitan & Co.,53,Government Agencies,Government Counsel,7,109,99,High Court,Failure to provide effective legal representation. | Provided substandard legal service and advice. | Mismanaged my case and provided inadequate support.,74272,NB/BCT/2017/53848
450,Ajay Chaudhary,Civil Lawyer,Legacy Law Offices,19,Contract Disputants,Senior Associate,3,58,52,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Reliable and trustworthy. Delivered on their promises. | Excellent communication and outstanding client care.,94159,NB/WB/2021/58797
451,Rekha Rao,Business Lawyer,Hogan Lovells US LLP,95,Corporations,Senior Advocate,10,294,241,High Court,Did not represent my interests effectively in court. | Mismanaged client expectations and case strategy. | Subpar service and lack of attention to my case.,974031,NB/UK/2014/57710
452,Sameer Patel,Animal Lawyer,TMT Law Practice,192,Zoos,Managing Associate,10,169,123,High Court,Proactive and strategic. Achieved a favorable outcome. | Exceptional service with a strong focus on client needs. | Great attention to detail and thorough in handling my case.,325262,NB/TR/2014/19504
453,Aakash Das,Bankruptcy Lawyer,Morrison Foerster,338,Businesses,Solicitor,10,170,125,Bar Council of India,Unorganized and frequently missed appointments. | Unprofessional conduct and lack of expertise. | Did not provide adequate representation and support.,520430,NB/DL/2014/30795
454,Sunita Kulkarni,Civil Lawyer,S&A Law Offices,35,Small Businesses,Government Counsel,10,129,126,Supreme Court of India,Proactive and strategic in handling my legal issues. | Exceptional service with a strong focus on client needs. | Outstanding client service and thorough legal representation.,117315,NB/AP/2014/86433
455,Rohit Yadav,Health Lawyer,Singularity Legal,287,Patients,Principal Associate,7,97,91,Supreme Court of India,Unresponsive and did not address all my concerns. | Did not address all legal issues in a timely manner. | Failure to meet deadlines and follow through on promises.,205211,NB/JH/2017/98312
456,Sameer Bhat,Labor Lawyer,Just Law,143,Labor Unions,Junior Associate / Associate,1,33,29,District Court,"Confident and competent. I felt secure with their representation. | Professional, reliable, and easy to work with. Satisfied client. | Always available and attentive to my needs.",59549,NB/MN/2023/85237
457,Sameer Rajput,Education Lawyer,De Penning & De Penning,232,Educational Institutions,Senior Associate,3,52,36,Bar Council of India,Professional approach and excellent outcome in my case. | Very knowledgeable in their field and easy to communicate with. | Very satisfied with the outcome and the service provided.,86052,NB/CG/2021/34872
458,Siddhi Rao,Tax Lawyer,Dhir & Dhir Associates,138,Corporations,Legal Advisor,5,145,101,Supreme Court of India,Did not represent my interests effectively in court. | Unacceptable level of service and attention. | Provided vague advice and seemed disinterested.,386414,NB/BCT/2019/54060
459,Siddhi Bhat,Bankruptcy Lawyer,AQUILAW,466,Individuals,Managing Associate,12,240,178,High Court,Inadequate response to urgent legal matters. | Failed to provide clear explanations and advice. | Provided vague advice and seemed disinterested.,269466,NB/OR/2012/11960
460,Dinesh Rao,Civil Rights Lawyer,P&A Law Offices,2,Individuals,Of Counsel,15,340,248,High Court,Clear explanations and transparent throughout the process. | Excellent service. Made a stressful situation much easier to handle. | Skilled and effective. Managed my case with precision and care.,412800,NB/G/2009/78338
461,Kavita Khan,Family Lawyer,Ahlawat & Associates,253,Domestic Partners,Senior Advocate,12,348,308,High Court,Excellent service. Made a stressful situation much easier to handle. | Exceptional at handling complex legal issues. | Supportive and empathetic. Always had my best interests in mind.,919576,NB/BCT/2012/73957
462,Vikram Menon,Family Lawyer,Krishnamurthy and Co,358,Divorcing Couples,Legal Aid Lawyer,1,17,14,Bar Council of India,Failure to meet deadlines and follow through on promises. | Unacceptable delays and lack of proper follow-up. | Provided substandard legal service and advice.,45146,NB/BCT/2023/48750
463,Naveen Patel,Banking and Finance Lawyer,RNClegal,323,Investors,Legal Aid Lawyer,1,14,14,High Court,Exceptional legal skills and always available to answer questions. | Exceptional at handling complex legal issues. | Clear communication and prompt responses. Highly recommend.,42700,NB/MAH/2023/55540
464,Bhavna Ghosh,Banking and Finance Lawyer,Law Offices of Panag & Babu,48,Investors,Managing Partner,22,416,334,District Court,Very professional and handled my case with great expertise. | Caring and attentive to my needs. Very pleased with the outcome. | Very responsive and provided excellent legal counsel.,4964965,NB/AP/2002/29502
465,Ajay Pandey,Employment Lawyer,Cyril Amarchand Mangaldas,45,Labor Unions,Legal Aid Lawyer,1,14,11,Bar Council of India,"Professional, reliable, and easy to work with. Satisfied client. | Professional and reliable. Made the legal process smooth and manageable. | Reliable and trustworthy. Delivered on their promises.",53275,NB/TS/2023/12180
466,Siddharth Joshi,Employment Lawyer,Universal Legal Advocates,384,Employees,Managing Partner,19,494,368,District Court,Outstanding client service and thorough legal representation. | Supportive and empathetic. Always had my best interests in mind. | Great strategic thinking and problem-solving skills.,1734818,NB/UP/2005/56061
467,Simran Chaudhary,Animal Lawyer,Jones Day,2,Pet Owners,Counsel,11,151,147,Supreme Court of India,Unorganized and frequently missed appointments. | Poor representation and lack of thorough case handling. | Unprofessional approach and lack of legal acumen.,300335,NB/G/2013/46614
468,Deepak Joshi,International Lawyer,Mahendra Bhavsar & Co,434,International Organizations,Counsel,12,202,184,Supreme Court of India,Poor handling of legal documents and paperwork. | Felt my case was not handled with enough urgency. | Failure to provide effective legal representation.,292564,NB/MN/2012/72185
469,Aakash Nair,Environmental Lawyer,Ashlar Law,1,Conservation Organizations,Advocate,1,10,8,Supreme Court of India,Great attention to detail and thorough in handling my case. | Clear explanations and transparent throughout the process. | Clear communication and prompt responses. Highly recommend.,78114,NB/BCT/2023/74186
470,Sneha Agarwal,Business Lawyer,Obhan & Associates,25,Entrepreneurs,Principal Associate,7,93,69,Bar Council of India,Knowledgeable and detail-oriented. Provided great support. | Trustworthy and results-oriented. I felt well-represented. | Dedicated to their clients and achieved favorable outcomes.,196037,NB/DL/2017/44852
471,Neha Rao,Business Lawyer,Titus & Co,432,Corporations,Government Counsel,7,145,102,High Court,Poorly handled legal negotiations and settlements. | Unprofessional behavior and missed important deadlines. | Failure to meet deadlines and follow through on promises.,113731,NB/G/2017/68617
472,Shivani Bhat,Business Lawyer,AK & Partners,162,Entrepreneurs,Legal Advisor,9,110,89,District Court,Proactive and strategic. Achieved a favorable outcome. | Committed and dedicated. Helped me navigate the legal system effectively. | Exceptional legal skills and always available to answer questions.,502033,NB/KAR/2015/81661
473,Manoj Rao,Maritime Lawyer,Law Offices of Panag & Babu,275,Seamen,In-House Counsel,10,195,157,District Court,Poor handling of legal documents and paperwork. | Unprofessional approach and lack of legal acumen. | Did not represent my interests effectively in court.,512087,NB/RJ/2014/24599
474,Siddhi Sharma,Securities Lawyer,Obhan & Associates,151,Financial Institutions,Legal Advisor,10,196,194,Supreme Court of India,Proactive and strategic. Achieved a favorable outcome. | Clear explanations and transparent throughout the process. | Thorough preparation and outstanding legal advice.,563230,NB/MP/2014/67703
475,Sunita Basu,Business Lawyer,Mayer Brown,32,Corporations,Managing Partner,24,416,332,Supreme Court of India,Excellent service. Made a stressful situation much easier to handle. | Exceptional at handling complex legal issues. | Supportive and empathetic. Always had my best interests in mind.,2308565,NB/MP/2000/85567
476,Sanjay Mishra,Criminal Lawyer,Juris Legal,23,Prosecutors,Junior Associate / Associate,1,24,23,High Court,Efficient handling of my case with a favorable result. | Very satisfied with the outcome and the service provided. | Provided excellent counsel and achieved excellent results.,44279,NB/KL/2023/35421
477,Anjali Mehta,Military Lawyer,Amicus,382,Military Personnel,Junior Associate / Associate,2,24,16,District Court,Thorough preparation and outstanding legal advice. | Exceptional service with a strong focus on client needs. | Professional demeanor and exceptional legal expertise.,73270,NB/MAH/2022/90670
478,Arjun Kadam,Business Lawyer,Zeus Law Associates,156,Small Businesses,Senior Associate,3,52,50,High Court,Provided excellent counsel and achieved excellent results. | Professional demeanor and exceptional legal expertise. | Clear explanations and transparent throughout the process.,84472,NB/TS/2021/79526
479,Neha Das,Intellectual Property Lawyer,AK & Partners,67,Creators,Legal Advisor,9,157,130,District Court,Always available and attentive to my needs. | Outstanding client service and thorough legal representation. | Knowledgeable and detail-oriented. Provided great support.,442869,NB/AP/2015/67879
480,Tanvi Rao,Criminal Lawyer,Latham & Watkins LLP,339,Crime Victims,Of Counsel,15,258,252,Supreme Court of India,Excellent communication and outstanding client care. | Excellent service. Made a stressful situation much easier to handle. | Very satisfied with the outcome and the service provided.,421505,NB/JK/2009/66457
481,Harish Kadam,Municipal Lawyer,Duane Morris & Selvam LLP,389,City Councils,Independent Legal Consultant,10,141,138,District Court,Caring and attentive to my needs. Very pleased with the outcome. | Top-notch service. Went above and beyond to ensure a positive result. | Great attention to detail and thorough in handling my case.,296516,NB/CG/2014/97521
482,Rashmi Sharma,Banking and Finance Lawyer,Mahendra Bhavsar & Co,475,Banks,Principal Associate,8,118,105,Bar Council of India,Professional and reliable. Made the legal process smooth and manageable. | Dedicated to their clients and achieved favorable outcomes. | Great advocate. Got me the best possible result in my case.,201611,NB/JH/2016/84712
483,Tanvi Nair,Civil Lawyer,Anhad Law,293,Individuals,Of Counsel,15,260,195,District Court,Professional demeanor and exceptional legal expertise. | Exceptional service with a strong focus on client needs. | Confident and competent. I felt secure with their representation.,406151,NB/MG/2009/52435
484,Nikhil Mehta,Entertainment Lawyer,Law Offices of Panag & Babu,333,Artists,Senior Advocate,10,347,299,Supreme Court of India,Limited understanding of my case and its complexities. | Failed to provide clear explanations and advice. | Not as knowledgeable as expected. Did not meet my expectations.,349690,NB/OR/2014/85125
485,Amit Rao,Intellectual Property Lawyer,Amicus,32,Inventors,Independent Legal Consultant,5,138,114,District Court,Professional and reliable. Made the legal process smooth and manageable. | Committed and dedicated. Helped me navigate the legal system effectively. | Great advocate. Got me the best possible result in my case.,249808,NB/AP/2019/80021
486,Deepak Sharma,International Lawyer,Argus Partners,334,Governments,Junior Associate / Associate,0,33,27,Bar Council of India,Exceptional at handling complex legal issues. | Proactive and strategic in handling my legal issues. | Exceptional legal skills and always available to answer questions.,39440,NB/MAH/2024/53261
487,Tanvi Pillai,Civil Lawyer,AK & Partners,249,Contract Disputants,Senior Advocate,10,330,237,District Court,Trustworthy and results-oriented. I felt well-represented. | Highly knowledgeable and provided excellent advice throughout. | Professional and reliable. Made the legal process smooth and manageable.,367751,NB/DL/2014/44165
488,Shivani Bhat,Municipal Lawyer,Goswami & Nigam LLP,239,Real Estate Developers,Senior Associate,3,59,54,High Court,Proficient in handling legal matters with great care. | Clear explanations and transparent throughout the process. | Committed and dedicated. Helped me navigate the legal system effectively.,142195,NB/MG/2021/99348
489,Harish Khan,Animal Lawyer,LEGALLANDS LLP,56,Animal Sanctuaries,Independent Legal Consultant,5,139,114,District Court,Thorough and meticulous in every aspect of the case. | Trustworthy and results-oriented. I felt well-represented. | Committed and dedicated. Helped me navigate the legal system effectively.,398872,NB/WB/2019/86191
490,Suresh Shetty,Sports Lawyer,Sim And San,41,Athletes,Junior Associate / Associate,1,33,31,Supreme Court of India,Provided excellent counsel and achieved excellent results. | Professional demeanor and exceptional legal expertise. | Professional approach and excellent outcome in my case.,51280,NB/MG/2023/89811
491,Vikas Verma,Maritime Lawyer,Krishna & Saurastri Associates LLP,156,Shipping Companies,Counsel,10,185,169,High Court,Ineffective communication and lack of detailed information. | Lacked communication and updates during my case. | Limited understanding of my case and its complexities.,207533,NB/TN/2014/75043
492,Tanvi Saxena,Labor Lawyer,Juris Corp,106,Employers,Junior Associate / Associate,0,21,21,High Court,Thorough and meticulous in every aspect of the case. | Proactive and strategic in handling my legal issues. | Excellent communication and outstanding client care.,36635,NB/MAH/2024/12517
493,Bhavna Basu,Health Lawyer,Stratage Law,98,Insurance Companies,Legal Aid Lawyer,1,15,10,Supreme Court of India,Very satisfied with the outcome and the service provided. | Supportive and empathetic. Always had my best interests in mind. | Highly recommended for their expertise and professionalism.,32806,NB/UP/2023/56804
494,Shivani Iyer,International Lawyer,"BRUS CHAMBERS, Advocates & Solicitors",277,Governments,Junior Associate / Associate,0,29,28,District Court,Disappointing experience with slow progress and poor outcomes. | Did not address all legal issues in a timely manner. | Inadequate response to urgent legal matters.,38407,NB/MG/2024/15340
495,Asha Patel,Municipal Lawyer,Stratage Law,299,Municipal Agencies,Junior Associate / Associate,1,34,24,Supreme Court of India,Efficient handling of my case with a favorable result. | Exceptional legal skills and always available to answer questions. | Proficient in handling legal matters with great care.,40116,NB/MG/2023/95726
496,Priya Mishra,Bankruptcy Lawyer,LexCounsel,386,Businesses,Advocate,1,10,9,District Court,Outstanding client service and thorough legal representation. | Reliable and trustworthy. Delivered on their promises. | Provided excellent counsel and achieved excellent results.,119785,NB/G/2023/49547
497,Ayesha Rajput,Civil Lawyer,Bombay Law Chambers,348,Small Businesses,Junior Associate / Associate,1,37,34,Supreme Court of India,Great advocate. Got me the best possible result in my case. | Very responsive and provided excellent legal counsel. | Outstanding client service and thorough legal representation.,48766,NB/TS/2023/55223
498,Naveen Chaudhary,Civil Lawyer,I.L.A. Pasrich & Company,189,Individuals,Managing Associate,10,182,154,District Court,Outstanding client service and thorough legal representation. | Knowledgeable and detail-oriented. Provided great support. | Proficient in handling legal matters with great care.,200230,NB/RJ/2014/61011
499,Ajay Saxena,Education Lawyer,Agrud Partners,500,Teachers,Legal Aid Lawyer,3,14,10,Bar Council of India,Consistently high-quality service and reliable support. | Thorough preparation and outstanding legal advice. | Very responsive and provided excellent legal counsel.,53686,NB/JK/2021/81572
500,Divya Chopra,Animal Lawyer,TMT Law Practice,207,Pet Owners,Legal Advisor,8,148,106,Bar Council of India,Felt my case was not handled with enough urgency. | Unsatisfactory result and poor management of my case. | Subpar service and lack of attention to my case.,566028,NB/JK/2016/82820
501,Rekha Khan,International Lawyer,AK & Partners,94,NGOs,Managing Associate,12,224,191,High Court,Unorganized and frequently missed appointments. | Inconsistent with follow-ups and overall handling. | Lack of professionalism and failed to keep me informed.,206848,NB/TR/2012/81004
502,Tanvi Reddy,Military Lawyer,Fox Mandal & Associates,167,Veterans,Non-Equity Partner,12,297,219,District Court,Clear communication and prompt responses. Highly recommend. | Efficient handling of my case with a favorable result. | Proactive and strategic in handling my legal issues.,1003004,NB/JH/2012/71650
503,Asha Mehta,Tax Lawyer,IndusLaw,290,Individuals,Principal Associate,5,94,81,Supreme Court of India,Dedicated and diligent. Always kept me informed. | Proactive and strategic. Achieved a favorable outcome. | Excellent service. Made a stressful situation much easier to handle.,209744,NB/BR/2019/40334
504,Sanjay Verma,Tax Lawyer,P&A Law Offices,423,Taxpayers,Legal Aid Lawyer,1,16,12,Bar Council of India,Excellent service. Made a stressful situation much easier to handle. | Effective and result-oriented. Highly satisfied with the service. | Great attention to detail and thorough in handling my case.,41465,NB/MAH/2023/98666
505,Arjun Mishra,Environmental Lawyer,White & Case LLP,402,Advocacy Groups,Counsel,8,162,119,District Court,Clear explanations and transparent throughout the process. | Supportive and empathetic. Always had my best interests in mind. | Always available and attentive to my needs.,246315,NB/KL/2016/58424
506,Suman Yadav,Banking and Finance Lawyer,Gravitas Legal,96,Financial Institutions,Non-Equity Partner,12,261,199,High Court,Dedicated to their clients and achieved favorable outcomes. | Supportive and empathetic. Always had my best interests in mind. | Thorough and meticulous in every aspect of the case.,1096261,NB/MG/2012/49868
507,Ajay Bhagat,Municipal Lawyer,King & Spalding LLP,273,Municipal Agencies,Principal Associate,6,84,61,Supreme Court of India,Very knowledgeable in their field and easy to communicate with. | Exceptional legal skills and always available to answer questions. | Proficient in handling legal matters with great care.,170422,NB/OR/2018/48816
508,Ayesha Shetty,Intellectual Property Lawyer,Debevoise & Plimpton LLP,185,Artists,Counsel,12,246,218,Supreme Court of India,Mismanaged client expectations and case strategy. | Failure to communicate important updates and changes. | Lacked communication and updates during my case.,368100,NB/AP/2012/72384
509,Abhishek Reddy,Family Lawyer,Bombay Law Chambers,316,Parents,Principal Associate,7,120,117,Supreme Court of India,Proactive and strategic. Achieved a favorable outcome. | Very responsive and provided excellent legal counsel. | Professional approach and excellent outcome in my case.,189247,NB/MAH/2017/17059
